ID;ComputerName;Domain;Decomissioned
;S1CTX-CORP-DB;Corpnet.teracom.se;0
;S1DPM;Corpnet.teracom.se;0
;S1EV-DB;Corpnet.teracom.se;0
;S1KAMSRV-T;Corpnet.teracom.se;0
;S1KARTDB-P;Corpnet.teracom.se;0
;S1KARTDB-T;Corpnet.teracom.se;0
;S1ORCH;Corpnet.teracom.se;0
;S1RPTSRV-P;ki.teracom.se;0
;S1RPTSRV-T;ki.teracom.se;0
;S1SCSM-DB-P;Corpnet.teracom.se;0
;S1SCSM-DB-T;Corpnet.teracom.se;0
;S1SCSM-DWH-P;Corpnet.teracom.se;0
;S1SCSM-ORCH-P;Corpnet.teracom.se;0
;S1SP-DB-P;Corpnet.teracom.se;0
;S1SP-DB-T;Corpnet.teracom.se;0
;S1SQLMGMT-P;Corpnet.teracom.se;0
;S2SCCM;Corpnet.teracom.se;0
;S2TWEB-DB-T;Corpnet.teracom.se;0
;S35A;Corpnet.teracom.se;0
;S40A;ki.teracom.se;0
;S68A;Corpnet.teracom.se;0
;S6DB;Corpnet.teracom.se;0
;SGHT17VCDB;Corpnet.teracom.se;0
;S-K140A;ki.teracom.se;0
;S-K1BUILDSERVER;Corpnet.teracom.se;0
;S-K1DW-DB-P;Corpnet.teracom.se;0
;S-K1DW-DB-T;Corpnet.teracom.se;0
;S-K1IFS-BI-T;Corpnet.teracom.se;0
;S-K1NCFLOW;Corpnet.teracom.se;0
;S-K1NCFLOWDB-P;Corpnet.teracom.se;0
;S-K1SP-DB-P;Corpnet.teracom.se;0
;S-K2RS-DB-P;Corpnet.teracom.se;0
;S-K3SAP-T;Corpnet.teracom.se;0
;S-K48A;ki.teracom.se;0
;SQLTEST2;Corpnet.teracom.se;0
;S-K2DB-P;Corpnet.teracom.se;0
;S-K1SKYPEFE-P;Corpnet.teracom.se;0
;S12A;Corpnet.teracom.se;0
;S1S;Corpnet.teracom.se;0
;S3CTX-CORP-APP;Corpnet.teracom.se;0
;SGHTCTX-CORP-DB;Corpnet.teracom.se;0
;S-KDIRSYNC;Corpnet.teracom.se;0
