ID;Date;ComputerName;ComputerDomain;Decomissioned;Model;Manufacturer;InstallDate;SerialNumber;OperatingSystem;ServicePack;OSArchitecture;OSLanguage;InstalledMemory;CPUID;CPULogical;CPUCores
;;BOXMLMSQL20;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-56 4d 4d 33 cc 9b db 42-31 65 06 55 1b f4 b6 d5;Microsoft(R) Windows(R) Server 2003. Enterprise Edition;Service Pack 2;NULL;1033;7.9;CPU0;NULL;NULL
;;BOXMLMSQL27;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-56 4d a8 47 24 91 43 16-8f 5b 6f 4a c1 82 0c 4a;Microsoft(R) Windows(R) Server 2003. Enterprise Edition;Service Pack 2;NULL;1033;7.9;CPU0;NULL;NULL
;;S12A;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-56 4d 86 e6 c1 9c 60 a5-e8 88 60 02 6e 1d 81 20;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;12.0;CPU0/CPU1;01-jan;01-jan
;;S1BIZ-DB-P;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ2248081Z      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1;08-aug;16/16
;;S1BIZ-DB-S;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ22480820      ;Microsoft Windows Server 2008 R2 Standard ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1;08-aug;16/16
;;S1CRMDB-DEV;boxer.local;0;VMware7.1;VMware. Inc.;2016-04-06;VMware-42 3c be 76 5a 58 db ba-c2 8f 05 e0 b5 4f e6 50;Microsoft Windows Server 2012 Datacenter;NULL;64-bit;1033;8.0;CPU0;2;2
;;S1CRM-DEV;boxer.local;0;VMware7.1;VMware. Inc.;2016-04-06;VMware-42 3c 00 75 d1 13 64 4e-6e 45 1a 1f fb aa e0 80;Microsoft Windows Server 2012 Datacenter;NULL;64-bit;1033;14.0;CPU0;2;2
;;S1CTXBOX-DB;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c a0 d7 b5 5a 4f 44-1a 27 20 05 7e ef ba fd;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0;1;1
;;S1CTX-CORP-DB;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c a5 d9 7e 91 9d cd-57 19 e3 15 0d a6 9f 47;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;12.0;CPU0;2;2
;;S1DPM;Corpnet.teracom.se;0;ProLiant DL380p Gen8;HP;2016-06-13;CZ23180C01      ;Microsoft Windows Server 2012 Standard;NULL;64-bit;1033;16.0;CPU0;6;12
;;S1DW-DB-P;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ2248081X      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;256.0;CPU0/CPU1;08-aug;16/16
;;S1DW-DB-S;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ2245040B      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;256.0;CPU0/CPU1;08-aug;16/16
;;S1DW-DB-T;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ2245049W      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;256.0;CPU0/CPU1;08-aug;16/16
;;S1EV-DB;Corpnet.teracom.se;0;ProLiant DL380 G7;HP;2016-06-13;CZ22030031      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;60.0;CPU0/CPU1;06-jun;12-dec
;;S1KAMSRV-T;Corpnet.teracom.se;0;ProLiant DL380 Gen9;HP;2016-06-13;CZJ65102YB;Microsoft Windows Server 2012 R2 Standard;NULL;64-bit;1033;63.9;CPU0/CPU1;08-aug;16/16
;;S1KARTDB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c f0 e2 85 c0 cf 05-c8 24 49 bc 90 83 7e 48;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;24.0;CPU0/CPU1;02-feb;02-feb
