id;date;SystemName;Name;Label;Capacity(GB);FreeSpace(GB);ProcentFree(%);Decomissioned
;;S2WEBDB;\\?\Volume{9fab9dc5-7d34-11df-aca0-806e6f6e6963}\;System Reserved;0.1;0.1;71.9;
;;S2WEBDB;Z:\;Pagefile;10.0;4.9;49.2;
;;S2WEBDB;D:\;Data;219.9;16.8;7.6;
;;S2WEBDB;E:\;Log;69.9;33.6;48.0;
;;S2WEBDB;F:\;Backup;500.0;376.5;75.3;
;;S2WEBDB;G:\;SQLRoot;10.0;5.3;53.4;
;;S2WEBDB;C:\;;59.9;32.4;54.2;
;;S1WEBDB-S;\\?\Volume{9fab9dc5-7d34-11df-aca0-806e6f6e6963}\;System Reserved;0.1;0.1;71.9;
;;S1WEBDB-S;Z:\;Pagefile;10.0;4.9;49.2;
;;S1WEBDB-S;D:\;Data;200.0;13.6;6.8;
;;S1WEBDB-S;E:\;Log;140.0;107.3;76.6;
;;S1WEBDB-S;F:\;Backup;300.0;155.4;51.8;
;;S1WEBDB-S;G:\;SQLRoot;10.0;8.7;87.1;
;;S1WEBDB-S;C:\;;59.9;16.4;27.4;
;;S2WEBDB-S;\\?\Volume{bdc7e5f1-46f5-11e3-80b4-806e6f6e6963}\;System Reserved;0.3;0.1;17.4;
;;S2WEBDB-S;Z:\;Pagefile;64.0;44.4;69.3;
;;S2WEBDB-S;B:\;SQLBin;10.0;9.4;93.9;
;;S2WEBDB-S;D:\;Data;200.0;34.0;17.0;
;;S2WEBDB-S;E:\;Log;67.0;28.7;42.9;
;;S2WEBDB-S;T:\;TempDB;12.0;3.0;24.7;
;;S2WEBDB-S;X:\;Backup;200.0;74.5;37.2;
;;S2WEBDB-S;C:\;;59.7;40.0;67.0;
;;S-K1WEBDB-P;\\?\Volume{bdc7e5f1-46f5-11e3-80b4-806e6f6e6963}\;System Reserved;0.3;0.1;17.4;
;;S-K1WEBDB-P;Z:\;Pagefile;48.0;28.4;59.1;
;;S-K1WEBDB-P;B:\;SQLBin;10.0;9.3;93.4;
;;S-K1WEBDB-P;D:\;Data;220.0;46.6;21.2;
;;S-K1WEBDB-P;E:\;Log;67.0;15.9;23.7;
;;S-K1WEBDB-P;T:\;TempDB;12.0;2.7;22.3;
;;S-K1WEBDB-P;X:\;Backup;400.0;141.2;35.3;
;;S-K1WEBDB-P;C:\;;59.7;42.1;70.6;
;;S1WEBDB-P;\\?\Volume{42c76a7d-32ec-11e2-bbc0-806e6f6e6963}\;System Reserved;0.1;0.1;70.8;
;;S1WEBDB-P;D:\;Data;99.9;47.0;47.1;
;;S1WEBDB-P;E:\;Log;69.9;20.9;29.8;
;;S1WEBDB-P;F:\;Backup;149.9;94.3;62.9;
;;S1WEBDB-P;G:\;SQLroot;10.0;9.5;94.8;
;;S1WEBDB-P;T:\;Temp;79.9;79.7;99.8;
;;S1WEBDB-P;Z:\;Pagefile;10.0;4.9;49.2;
;;S1WEBDB-P;C:\;;59.9;26.0;43.4;
